Event	ID	Name			Wwise Object Path	Notes
	59969852	Stop_Orange_Pulsating_Sphere_Cluster_Loop			\Default Work Unit\Stop_Orange_Pulsating_Sphere_Cluster_Loop	
	150458005	Play_Orange_Blanket_Aktive			\Default Work Unit\Play_Orange_Blanket_Aktive	
	251614380	Stop_Red_Sphere_Loop			\Default Work Unit\Stop_Red_Sphere_Loop	
	370574138	Play_Red_Cube_Aktive			\Default Work Unit\Play_Red_Cube_Aktive	
	440090986	Play_Red_Cube_Idle			\Default Work Unit\Play_Red_Cube_Idle	
	594352518	Stop_Green_Noodle_Loop			\Default Work Unit\Stop_Green_Noodle_Loop	
	727450411	Play_Blue_Wave_Aktive			\Default Work Unit\Play_Blue_Wave_Aktive	
	924534716	Stop_Red_Cube_Loop			\Default Work Unit\Stop_Red_Cube_Loop	
	1044629418	Play_Red_Sphere_Idle			\Default Work Unit\Play_Red_Sphere_Idle	
	1126944137	Play_Green_Pulsating_Sphere_Cluster_Idle			\Default Work Unit\Play_Green_Pulsating_Sphere_Cluster_Idle	
	1146061958	Stop_Blue_3_Waves_Loop			\Default Work Unit\Stop_Blue_3_Waves_Loop	
	1275841447	Play_Blue_Wave_Idle			\Default Work Unit\Play_Blue_Wave_Idle	
	1296833649	Play_Moon			\Default Work Unit\Play_Moon	
	1471702656	Play_Green_Pulsating_Sphere_Cluster_Aktiv			\Default Work Unit\Play_Green_Pulsating_Sphere_Cluster_Aktiv	
	1562304622	Play_Ambient			\Default Work Unit\Play_Ambient	
	1750831160	Play_Blue_3_Waves_Aktive			\Default Work Unit\Play_Blue_3_Waves_Aktive	
	2380954949	Play_Yellow_Pyramide_Aktive			\Default Work Unit\Play_Yellow_Pyramide_Aktive	
	2677711585	Play_Moon_response			\Default Work Unit\Play_Moon_response	
	2716123513	Play_Orange_Blanket_Idle			\Default Work Unit\Play_Orange_Blanket_Idle	
	2736068400	Play_Green_Noodle_Idle			\Default Work Unit\Play_Green_Noodle_Idle	
	2871615111	Stop_Orange_Blanket_Loop			\Default Work Unit\Stop_Orange_Blanket_Loop	
	2995825455	Stop_Green_Pulsating_Sphere_Cluster_Loop			\Default Work Unit\Stop_Green_Pulsating_Sphere_Cluster_Loop	
	3113777928	Play_Green_Noodle_Aktive			\Default Work Unit\Play_Green_Noodle_Aktive	
	3538379842	Play_Orange_Pulsating_Sphere_Cluster_Aktive			\Default Work Unit\Play_Orange_Pulsating_Sphere_Cluster_Aktive	
	3592663298	Stop_Dark_Blue_Sphere_Loop			\Default Work Unit\Stop_Dark_Blue_Sphere_Loop	
	3641478185	Stop_Blue_Wave_Loop			\Default Work Unit\Stop_Blue_Wave_Loop	
	3650992882	Play_Dark_Blue_Idle			\Default Work Unit\Play_Dark_Blue_Idle	
	3784571625	Play_Yellow_Pyramide_Idle			\Default Work Unit\Play_Yellow_Pyramide_Idle	
	3842488354	Play_Dark_Blue_Aktive			\Default Work Unit\Play_Dark_Blue_Aktive	
	3878163730	Play_Orange_Pulsating_Sphere_Cluster_idle			\Default Work Unit\Play_Orange_Pulsating_Sphere_Cluster_idle	
	3952716768	Play_Blue_3_Waves_Idle			\Default Work Unit\Play_Blue_3_Waves_Idle	
	4077158843	Stop_Yellow_Pyramide_Loop			\Default Work Unit\Stop_Yellow_Pyramide_Loop	
	4236985978	Play_Red_Sphere_Aktive			\Default Work Unit\Play_Red_Sphere_Aktive	

Game Parameter	ID	Name			Wwise Object Path	Notes
	243151924	Orange_Pulsating_Sphere_Cluster			\Default Work Unit\Orange_Pulsating_Sphere_Cluster	
	629372170	Red_Cube			\Default Work Unit\Red_Cube	
	818859383	Blue_Wave			\Default Work Unit\Blue_Wave	
	868919084	Dark_Blue_Sphere			\Default Work Unit\Dark_Blue_Sphere	
	1260208832	Green_Noodle			\Default Work Unit\Green_Noodle	
	1348629375	Orange_Blanket			\Default Work Unit\Orange_Blanket	
	2249019740	Blue_3_Waves			\Default Work Unit\Blue_3_Waves	
	3169013010	Red_Sphere			\Default Work Unit\Red_Sphere	
	3328475477	Yellow_Pyramide			\Default Work Unit\Yellow_Pyramide	
	4201243403	Green_Pulsating_Sphere_Cluster			\Default Work Unit\Green_Pulsating_Sphere_Cluster	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2984657	Sphere 2 three	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Sphere 2 three_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Idle\Blue Wave Idle\Sphere_2_Random\Sphere 2 three		1302776
	32016163	Pad Idle 4	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Pad Idle 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Idle\Orange Blanket Idle\Pad Idle 4		1764128
	48645291	Sphere 2 eight	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Sphere 2 eight_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Idle\Blue Wave Idle\Sphere_2_Random\Sphere 2 eight		1302776
	55749568	Wobble Idle 6	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Wobble Idle 6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Aktive\Green Pulsating Sphere Cluster Aktiv\Wobble Idle 6		1058528
	62477184	Pad Idle 3	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Pad Idle 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Idle\Orange Blanket Idle\Pad Idle 3		1764128
	64309575	Sphere 1 seven	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Sphere 1 seven_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Aktive\Red Sphere Aktive\Sphere_1_Random\Sphere 1 seven		3745236
	72910802	Wobble 2	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Wobble 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moon\Green Pulsating Sphere Cluster Loop\Wobble 2		8467328
	79996278	Piano04_OneShot	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Piano04_OneShot_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Idle\Red Cube Idle\Piano04_OneShot		512068
	101994835	Wobble Idle 4	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Wobble Idle 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Aktive\Green Pulsating Sphere Cluster Aktiv\Wobble Idle 4		1058528
	107051675	Duduk01_OneShot	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Duduk01_OneShot_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Aktive\Yellow Pyramide Aktive\Duduk01_OneShot		1024068
	123705625	Duduk02_OneShot	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Duduk02_OneShot_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Aktive\Yellow Pyramide Aktive\Duduk02_OneShot		1024068
	132776430	Wobble Idle 12	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Wobble Idle 12_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Aktive\Green Pulsating Sphere Cluster Aktiv\Wobble Idle 12		1058528
	143704307	Sphere 2 ten	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Sphere 2 ten_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Idle\Blue Wave Idle\Sphere_2_Random\Sphere 2 ten		1302776
	158454384	Sphere 1 two	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Sphere 1 two_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Aktive\Red Sphere Aktive\Sphere_1_Random\Sphere 1 two		3745236
	162902184	Glock 2	C:\Users\cryin\Documents\VR Interaktiv\VR Interaktiv_WwiseProject\.cache\Windows\SFX\Glock 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moon\Orange Pulsating Sphere Cluster Loop\Glock 2		9172928
